DATE,MKTGDPCNA646NWDB
1960-01-01,59716467625.3148
1961-01-01,50056868957.6732
1962-01-01,47209359005.6057
1963-01-01,50706799902.5104
1964-01-01,59708343488.5043
1965-01-01,70436266146.7219
1966-01-01,76720285969.6157
1967-01-01,72881631326.6715
1968-01-01,70846535055.6503
1969-01-01,79705906247.4612
1970-01-01,92602973434.0726
1971-01-01,99800958648.1436
1972-01-01,113687586299.051
1973-01-01,138544284708.957
1974-01-01,144182133387.722
1975-01-01,163431551779.761
1976-01-01,153940455341.506
1977-01-01,174938098826.569
1978-01-01,149540752829.268
1979-01-01,178280594413.043
1980-01-01,191149211575
1981-01-01,195866382432.54
1982-01-01,205089699858.779
1983-01-01,230686747153.257
1984-01-01,259946510957.143
1985-01-01,309488028132.653
1986-01-01,300758100107.246
1987-01-01,272972974764.574
1988-01-01,312353631207.819
1989-01-01,347768051311.741
1990-01-01,360857912565.966
1991-01-01,383373318083.624
1992-01-01,426915712711.146
1993-01-01,444731282436.762
1994-01-01,564324670005.917
1995-01-01,734547898220.508
1996-01-01,863746717503.789
1997-01-01,961603952951.82
1998-01-01,1029043097554.08
1999-01-01,1093997267271.06
2000-01-01,1211346869605.24
2001-01-01,1339395718865.3
2002-01-01,1470550015081.55
2003-01-01,1660287965662.68
2004-01-01,1955347004963.27
2005-01-01,2285965892360.54
2006-01-01,2752131773355.16
2007-01-01,3550342737010.84
2008-01-01,4594307032660.79
2009-01-01,5101703073086.04
2010-01-01,6087163874512.21
2011-01-01,7551500124203.36
2012-01-01,8532229986993.65
2013-01-01,9570406235659.64
2014-01-01,10475682920594.5
2015-01-01,11061553079876.4
2016-01-01,11233276536737.2
2017-01-01,12310409370892.8
2018-01-01,13894817549374.2
2019-01-01,14342903006431.3
